epoch 13 / 48,             	step 200 / 1875,             	loss = 0.0034
epoch 13 / 48,             	step 300 / 1875,             	loss = 0.0028
epoch 13 / 48,             	step 400 / 1875,             	loss = 0.0008
epoch 13 / 48,             	step 500 / 1875,             	loss = 0.0570
epoch 13 / 48,             	step 600 / 1875,             	loss = 0.0047
epoch 13 / 48,             	step 700 / 1875,             	loss = 0.0110
epoch 13 / 48,             	step 900 / 1875,             	loss = 0.0204
epoch 13 / 48,             	step 1100 / 1875,             	loss = 0.0017
epoch 13 / 48,             	step 1200 / 1875,             	loss = 0.0015
epoch 13 / 48,             	step 1300 / 1875,             	loss = 0.1226
epoch 13 / 48,             	step 1400 / 1875,             	loss = 0.0771
epoch 13 / 48,             	step 1500 / 1875,             	loss = 0.0039
epoch 13 / 48,             	step 1600 / 1875,             	loss = 0.0033
epoch 13 / 48,             	step 1800 / 1875,             	loss = 0.0018
epoch 14 / 48,             	step 300 / 1875,             	loss = 0.2150
epoch 14 / 48,             	step 400 / 1875,             	loss = 0.0931
epoch 14 / 48,             	step 500 / 1875,             	loss = 0.0083
epoch 14 / 48,             	step 600 / 1875,             	loss = 0.0027
epoch 14 / 48,             	step 700 / 1875,             	loss = 0.0011
epoch 14 / 48,             	step 800 / 1875,             	loss = 0.0001
epoch 14 / 48,             	step 900 / 1875,             	loss = 0.0038
epoch 14 / 48,             	step 1000 / 1875,             	loss = 0.0752
epoch 14 / 48,             	step 1100 / 1875,             	loss = 0.0003
epoch 14 / 48,             	step 1200 / 1875,             	loss = 0.0026
epoch 14 / 48,             	step 1300 / 1875,             	loss = 0.1159
epoch 14 / 48,             	step 1400 / 1875,             	loss = 0.0141
epoch 14 / 48,             	step 1500 / 1875,             	loss = 0.0025
epoch 14 / 48,             	step 1600 / 1875,             	loss = 0.0005
epoch 14 / 48,             	step 1700 / 1875,             	loss = 0.0013
epoch 14 / 48,             	step 1800 / 1875,             	loss = 0.0010
epoch 15 / 48,             	step 100 / 1875,             	loss = 0.0007
epoch 15 / 48,             	step 200 / 1875,             	loss = 0.0065
epoch 15 / 48,             	step 300 / 1875,             	loss = 0.0008
epoch 15 / 48,             	step 400 / 1875,             	loss = 0.0092
epoch 15 / 48,             	step 500 / 1875,             	loss = 0.0000
epoch 15 / 48,             	step 600 / 1875,             	loss = 0.0035
epoch 15 / 48,             	step 700 / 1875,             	loss = 0.0013
epoch 15 / 48,             	step 800 / 1875,             	loss = 0.0004
epoch 15 / 48,             	step 900 / 1875,             	loss = 0.0001
epoch 15 / 48,             	step 1000 / 1875,             	loss = 0.0019
epoch 15 / 48,             	step 1100 / 1875,             	loss = 0.0011
epoch 15 / 48,             	step 1200 / 1875,             	loss = 0.0004
epoch 15 / 48,             	step 1400 / 1875,             	loss = 0.0450
epoch 15 / 48,             	step 1500 / 1875,             	loss = 0.0027
epoch 15 / 48,             	step 1600 / 1875,             	loss = 0.0083
epoch 15 / 48,             	step 1700 / 1875,             	loss = 0.0005
epoch 15 / 48,             	step 1800 / 1875,             	loss = 0.0804
epoch 16 / 48,             	step 100 / 1875,             	loss = 0.0070
epoch 16 / 48,             	step 200 / 1875,             	loss = 0.0070
epoch 16 / 48,             	step 300 / 1875,             	loss = 0.0002
epoch 16 / 48,             	step 400 / 1875,             	loss = 0.0341
epoch 16 / 48,             	step 500 / 1875,             	loss = 0.0003
epoch 16 / 48,             	step 600 / 1875,             	loss = 0.0003
epoch 16 / 48,             	step 700 / 1875,             	loss = 0.0054
epoch 16 / 48,             	step 800 / 1875,             	loss = 0.0040
epoch 16 / 48,             	step 1000 / 1875,             	loss = 0.0032
epoch 16 / 48,             	step 1100 / 1875,             	loss = 0.0005
epoch 16 / 48,             	step 1200 / 1875,             	loss = 0.0002
epoch 16 / 48,             	step 1300 / 1875,             	loss = 0.0009
epoch 16 / 48,             	step 1400 / 1875,             	loss = 0.0004
epoch 16 / 48,             	step 1500 / 1875,             	loss = 0.0029
epoch 16 / 48,             	step 1600 / 1875,             	loss = 0.0006
epoch 16 / 48,             	step 1700 / 1875,             	loss = 0.0273
epoch 16 / 48,             	step 1800 / 1875,             	loss = 0.0696
epoch 17 / 48,             	step 100 / 1875,             	loss = 0.0028
epoch 17 / 48,             	step 200 / 1875,             	loss = 0.0001
epoch 17 / 48,             	step 300 / 1875,             	loss = 0.0016
epoch 17 / 48,             	step 400 / 1875,             	loss = 0.0047
epoch 17 / 48,             	step 500 / 1875,             	loss = 0.0066
epoch 17 / 48,             	step 600 / 1875,             	loss = 0.0034
epoch 17 / 48,             	step 700 / 1875,             	loss = 0.0190
epoch 17 / 48,             	step 800 / 1875,             	loss = 0.0001
epoch 17 / 48,             	step 900 / 1875,             	loss = 0.0008
epoch 17 / 48,             	step 1000 / 1875,             	loss = 0.0017
epoch 17 / 48,             	step 1100 / 1875,             	loss = 0.0003
epoch 17 / 48,             	step 1200 / 1875,             	loss = 0.0040
epoch 17 / 48,             	step 1300 / 1875,             	loss = 0.0041
epoch 17 / 48,             	step 1400 / 1875,             	loss = 0.6330
epoch 17 / 48,             	step 1500 / 1875,             	loss = 0.0017
epoch 17 / 48,             	step 1600 / 1875,             	loss = 0.0031
epoch 17 / 48,             	step 1700 / 1875,             	loss = 0.0146
epoch 17 / 48,             	step 1800 / 1875,             	loss = 0.0364
epoch 18 / 48,             	step 100 / 1875,             	loss = 0.0052
epoch 18 / 48,             	step 300 / 1875,             	loss = 0.0247
epoch 18 / 48,             	step 400 / 1875,             	loss = 0.0004
epoch 18 / 48,             	step 500 / 1875,             	loss = 0.0020
epoch 18 / 48,             	step 600 / 1875,             	loss = 0.0015
epoch 18 / 48,             	step 700 / 1875,             	loss = 0.0001
epoch 18 / 48,             	step 800 / 1875,             	loss = 0.0043
epoch 18 / 48,             	step 900 / 1875,             	loss = 0.0331
epoch 18 / 48,             	step 1000 / 1875,             	loss = 0.0033
epoch 18 / 48,             	step 1100 / 1875,             	loss = 0.0010
epoch 18 / 48,             	step 1200 / 1875,             	loss = 0.0001
epoch 18 / 48,             	step 1300 / 1875,             	loss = 0.0000
epoch 18 / 48,             	step 1400 / 1875,             	loss = 0.0004
epoch 18 / 48,             	step 1500 / 1875,             	loss = 0.0003
epoch 18 / 48,             	step 1600 / 1875,             	loss = 0.0009
epoch 18 / 48,             	step 1700 / 1875,             	loss = 0.0022
epoch 18 / 48,             	step 1800 / 1875,             	loss = 0.0017
epoch 19 / 48,             	step 100 / 1875,             	loss = 0.0007
epoch 19 / 48,             	step 200 / 1875,             	loss = 0.0040
epoch 19 / 48,             	step 300 / 1875,             	loss = 0.0184
epoch 19 / 48,             	step 400 / 1875,             	loss = 0.0009
epoch 19 / 48,             	step 500 / 1875,             	loss = 0.0029
epoch 19 / 48,             	step 600 / 1875,             	loss = 0.0015
epoch 19 / 48,             	step 700 / 1875,             	loss = 0.0236
epoch 19 / 48,             	step 800 / 1875,             	loss = 0.0428
epoch 19 / 48,             	step 900 / 1875,             	loss = 0.0063
epoch 19 / 48,             	step 1000 / 1875,             	loss = 0.0001
epoch 19 / 48,             	step 1100 / 1875,             	loss = 0.0077
epoch 19 / 48,             	step 1200 / 1875,             	loss = 0.0044
epoch 19 / 48,             	step 1300 / 1875,             	loss = 0.0114
epoch 19 / 48,             	step 1400 / 1875,             	loss = 0.0009
epoch 19 / 48,             	step 1600 / 1875,             	loss = 0.1464
epoch 19 / 48,             	step 1700 / 1875,             	loss = 0.0018
epoch 19 / 48,             	step 1800 / 1875,             	loss = 0.0112
epoch 20 / 48,             	step 100 / 1875,             	loss = 0.0062
epoch 20 / 48,             	step 200 / 1875,             	loss = 0.2572
epoch 20 / 48,             	step 300 / 1875,             	loss = 0.0358
epoch 20 / 48,             	step 400 / 1875,             	loss = 0.0006
epoch 20 / 48,             	step 500 / 1875,             	loss = 0.0081
epoch 20 / 48,             	step 600 / 1875,             	loss = 0.0551
epoch 20 / 48,             	step 700 / 1875,             	loss = 0.0051
epoch 20 / 48,             	step 800 / 1875,             	loss = 0.0527
epoch 20 / 48,             	step 900 / 1875,             	loss = 0.0512
epoch 20 / 48,             	step 1000 / 1875,             	loss = 0.0102
epoch 20 / 48,             	step 1100 / 1875,             	loss = 0.0052
epoch 20 / 48,             	step 1200 / 1875,             	loss = 0.0002
epoch 20 / 48,             	step 1300 / 1875,             	loss = 0.0057
epoch 20 / 48,             	step 1400 / 1875,             	loss = 0.0007
epoch 20 / 48,             	step 1500 / 1875,             	loss = 0.0017
epoch 20 / 48,             	step 1600 / 1875,             	loss = 0.0010
