epoch 8 / 48,             	step 1700 / 1875,             	loss = 0.1016
epoch 8 / 48,             	step 1800 / 1875,             	loss = 0.0739
epoch 9 / 48,             	step 100 / 1875,             	loss = 0.2962
epoch 9 / 48,             	step 200 / 1875,             	loss = 0.0648
epoch 9 / 48,             	step 300 / 1875,             	loss = 0.0765
epoch 9 / 48,             	step 400 / 1875,             	loss = 0.1746
epoch 9 / 48,             	step 500 / 1875,             	loss = 0.1365
epoch 9 / 48,             	step 600 / 1875,             	loss = 0.1373
epoch 9 / 48,             	step 700 / 1875,             	loss = 0.3346
epoch 9 / 48,             	step 800 / 1875,             	loss = 0.1367
epoch 9 / 48,             	step 900 / 1875,             	loss = 0.1510
epoch 9 / 48,             	step 1000 / 1875,             	loss = 0.2156
epoch 9 / 48,             	step 1100 / 1875,             	loss = 0.0672
epoch 9 / 48,             	step 1200 / 1875,             	loss = 0.0941
epoch 9 / 48,             	step 1300 / 1875,             	loss = 0.4020
epoch 9 / 48,             	step 1400 / 1875,             	loss = 0.1612
epoch 9 / 48,             	step 1500 / 1875,             	loss = 0.1770
epoch 9 / 48,             	step 1600 / 1875,             	loss = 0.1618
epoch 9 / 48,             	step 1700 / 1875,             	loss = 0.0843
epoch 9 / 48,             	step 1800 / 1875,             	loss = 0.2320
epoch 10 / 48,             	step 100 / 1875,             	loss = 0.0980
epoch 10 / 48,             	step 200 / 1875,             	loss = 0.1656
epoch 10 / 48,             	step 300 / 1875,             	loss = 0.3053
epoch 10 / 48,             	step 400 / 1875,             	loss = 0.1652
epoch 10 / 48,             	step 500 / 1875,             	loss = 0.4650
epoch 10 / 48,             	step 600 / 1875,             	loss = 0.1489
epoch 10 / 48,             	step 700 / 1875,             	loss = 0.2781
epoch 10 / 48,             	step 800 / 1875,             	loss = 0.3162
epoch 10 / 48,             	step 900 / 1875,             	loss = 0.0995
epoch 10 / 48,             	step 1000 / 1875,             	loss = 0.0984
epoch 10 / 48,             	step 1100 / 1875,             	loss = 0.1244
epoch 10 / 48,             	step 1200 / 1875,             	loss = 0.1036
epoch 10 / 48,             	step 1300 / 1875,             	loss = 0.0904
epoch 10 / 48,             	step 1400 / 1875,             	loss = 0.0681
epoch 10 / 48,             	step 1500 / 1875,             	loss = 0.1181
epoch 10 / 48,             	step 1600 / 1875,             	loss = 0.5390
epoch 10 / 48,             	step 1700 / 1875,             	loss = 0.2273
epoch 10 / 48,             	step 1800 / 1875,             	loss = 0.0774
epoch 11 / 48,             	step 100 / 1875,             	loss = 0.0597
epoch 11 / 48,             	step 200 / 1875,             	loss = 0.2110
epoch 11 / 48,             	step 300 / 1875,             	loss = 0.0482
epoch 11 / 48,             	step 400 / 1875,             	loss = 0.3732
epoch 11 / 48,             	step 500 / 1875,             	loss = 0.2511
epoch 11 / 48,             	step 600 / 1875,             	loss = 0.1655
epoch 11 / 48,             	step 700 / 1875,             	loss = 0.2612
epoch 11 / 48,             	step 800 / 1875,             	loss = 0.0658
epoch 11 / 48,             	step 900 / 1875,             	loss = 0.0365
epoch 11 / 48,             	step 1000 / 1875,             	loss = 0.1181
epoch 11 / 48,             	step 1100 / 1875,             	loss = 0.1106
epoch 11 / 48,             	step 1200 / 1875,             	loss = 0.0732
epoch 11 / 48,             	step 1300 / 1875,             	loss = 0.1298
epoch 11 / 48,             	step 1400 / 1875,             	loss = 0.1725
epoch 11 / 48,             	step 1500 / 1875,             	loss = 0.1463
epoch 11 / 48,             	step 1600 / 1875,             	loss = 0.1649
epoch 11 / 48,             	step 1700 / 1875,             	loss = 0.1339
epoch 11 / 48,             	step 1800 / 1875,             	loss = 0.2008
epoch 12 / 48,             	step 100 / 1875,             	loss = 0.0909
epoch 12 / 48,             	step 200 / 1875,             	loss = 0.1328
epoch 12 / 48,             	step 300 / 1875,             	loss = 0.1282
epoch 12 / 48,             	step 400 / 1875,             	loss = 0.0508
epoch 12 / 48,             	step 500 / 1875,             	loss = 0.0860
epoch 12 / 48,             	step 600 / 1875,             	loss = 0.1118
epoch 12 / 48,             	step 700 / 1875,             	loss = 0.1162
epoch 12 / 48,             	step 800 / 1875,             	loss = 0.1603
epoch 12 / 48,             	step 900 / 1875,             	loss = 0.1484
epoch 12 / 48,             	step 1000 / 1875,             	loss = 0.1277
epoch 12 / 48,             	step 1100 / 1875,             	loss = 0.2655
epoch 12 / 48,             	step 1200 / 1875,             	loss = 0.2187
epoch 12 / 48,             	step 1300 / 1875,             	loss = 0.0339
epoch 12 / 48,             	step 1400 / 1875,             	loss = 0.0854
epoch 12 / 48,             	step 1500 / 1875,             	loss = 0.0961
epoch 12 / 48,             	step 1600 / 1875,             	loss = 0.0880
